x_center,y_center,attempts,makes,fg_pct,pps
-250,-50,0,0,,
-230,-50,1,0,0.0,0.0
-210,-50,0,0,,
-190,-50,0,0,,
-170,-50,0,0,,
-150,-50,0,0,,
-130,-50,0,0,,
-110,-50,0,0,,
-90,-50,0,0,,
-70,-50,0,0,,
-50,-50,0,0,,
-30,-50,0,0,,
-10,-50,0,0,,
10,-50,0,0,,
30,-50,0,0,,
50,-50,0,0,,
70,-50,0,0,,
90,-50,1,0,0.0,0.0
110,-50,0,0,,
130,-50,0,0,,
150,-50,0,0,,
170,-50,0,0,,
190,-50,0,0,,
210,-50,0,0,,
230,-50,0,0,,
250,-50,0,0,,
-250,-30,15,7,0.4667,1.4
-230,-30,412,163,0.3956,1.1869
-210,-30,6,2,0.3333,0.6667
-190,-30,7,3,0.4286,0.8571
-170,-30,7,2,0.2857,0.5714
-150,-30,9,6,0.6667,1.3333
-130,-30,12,4,0.3333,0.6667
-110,-30,9,4,0.4444,0.8889
-90,-30,11,4,0.3636,0.7273
-70,-30,4,3,0.75,1.5
-50,-30,3,0,0.0,0.0
-30,-30,4,0,0.0,0.0
-10,-30,2,1,0.5,1.0
10,-30,6,4,0.6667,1.3333
30,-30,3,2,0.6667,1.3333
50,-30,3,0,0.0,0.0
70,-30,4,2,0.5,1.0
90,-30,2,0,0.0,0.0
110,-30,10,1,0.1,0.2
130,-30,13,7,0.5385,1.0769
150,-30,7,5,0.7143,1.4286
170,-30,5,1,0.2,0.4
190,-30,2,0,0.0,0.0
210,-30,1,1,1.0,2.0
230,-30,144,63,0.4375,1.3125
250,-30,7,3,0.4286,1.2857
-250,-10,92,38,0.413,1.2391
-230,-10,2989,1147,0.3837,1.1512
-210,-10,31,11,0.3548,0.7097
-190,-10,36,12,0.3333,0.6667
-170,-10,41,18,0.439,0.878
-150,-10,82,42,0.5122,1.0244
-130,-10,100,48,0.48,0.96
-110,-10,111,44,0.3964,0.7928
-90,-10,101,43,0.4257,0.8515
-70,-10,66,31,0.4697,0.9394
-50,-10,108,43,0.3981,0.7963
-30,-10,433,242,0.5589,1.1178
-10,-10,1583,1271,0.8029,1.6058
10,-10,1767,1405,0.7951,1.5903
30,-10,413,240,0.5811,1.1622
50,-10,90,29,0.3222,0.6444
70,-10,63,26,0.4127,0.8254
90,-10,71,35,0.493,0.9859
110,-10,105,51,0.4857,0.9714
130,-10,102,39,0.3824,0.7647
150,-10,89,36,0.4045,0.809
170,-10,44,18,0.4091,0.8182
190,-10,40,16,0.4,0.8
210,-10,31,9,0.2903,0.5806
230,-10,1590,622,0.3912,1.1736
250,-10,80,37,0.4625,1.3875
-250,10,115,39,0.3391,1.0174
-230,10,3837,1444,0.3763,1.129
-210,10,70,24,0.3429,0.7
-190,10,63,24,0.381,0.7619
-170,10,68,35,0.5147,1.0294
-150,10,157,59,0.3758,0.7516
-130,10,215,101,0.4698,0.9395
-110,10,263,113,0.4297,0.8593
-90,10,283,128,0.4523,0.9046
-70,10,350,143,0.4086,0.8171
-50,10,840,331,0.394,0.7881
-30,10,4228,2274,0.5378,1.0757
-10,10,13018,9566,0.7348,1.4697
10,10,21126,15088,0.7142,1.4284
30,10,5154,2969,0.5761,1.1521
50,10,1066,449,0.4212,0.8424
70,10,448,200,0.4464,0.8929
90,10,311,129,0.4148,0.8296
110,10,287,131,0.4564,0.9129
130,10,247,103,0.417,0.834
150,10,174,67,0.3851,0.7701
170,10,76,33,0.4342,0.8684
190,10,45,15,0.3333,0.6667
210,10,65,30,0.4615,0.9385
230,10,3509,1366,0.3893,1.1679
250,10,181,66,0.3646,1.0939
-250,30,80,31,0.3875,1.1625
-230,30,2291,903,0.3942,1.1825
-210,30,37,12,0.3243,0.6486
-190,30,45,18,0.4,0.8
-170,30,69,30,0.4348,0.8696
-150,30,147,61,0.415,0.8299
-130,30,214,82,0.3832,0.7664
-110,30,221,95,0.4299,0.8597
-90,30,276,127,0.4601,0.9203
-70,30,514,223,0.4339,0.8677
-50,30,1190,463,0.3891,0.7782
-30,30,3085,1413,0.458,0.916
-10,30,5299,3028,0.5714,1.1429
10,30,5808,3355,0.5777,1.1553
30,30,3721,1747,0.4695,0.939
50,30,1469,593,0.4037,0.8074
70,30,646,284,0.4396,0.8793
90,30,395,187,0.4734,0.9468
110,30,249,106,0.4257,0.8514
130,30,190,74,0.3895,0.7789
150,30,131,56,0.4275,0.855
170,30,63,28,0.4444,0.8889
190,30,34,11,0.3235,0.6471
210,30,36,15,0.4167,0.8333
230,30,2492,990,0.3973,1.1918
250,30,146,56,0.3836,1.1507
-250,50,42,20,0.4762,1.4286
-230,50,1249,472,0.3779,1.1337
-210,50,20,10,0.5,1.0
-190,50,42,17,0.4048,0.8095
-170,50,48,19,0.3958,0.7917
-150,50,113,52,0.4602,0.9204
-130,50,174,75,0.431,0.8621
-110,50,191,93,0.4869,0.9738
-90,50,294,123,0.4184,0.8367
-70,50,474,200,0.4219,0.8439
-50,50,819,290,0.3541,0.7082
-30,50,1486,662,0.4455,0.891
-10,50,2424,1114,0.4596,0.9191
10,50,2506,1225,0.4888,0.9777
30,50,1793,807,0.4501,0.9002
50,50,1062,456,0.4294,0.8588
70,50,592,259,0.4375,0.875
90,50,338,145,0.429,0.858
110,50,227,96,0.4229,0.8458
130,50,124,44,0.3548,0.7097
150,50,96,52,0.5417,1.0833
170,50,39,12,0.3077,0.6154
190,50,30,10,0.3333,0.6667
210,50,24,5,0.2083,0.4167
230,50,1624,636,0.3916,1.1749
250,50,77,21,0.2727,0.8182
-250,70,21,13,0.619,1.8571
-230,70,787,320,0.4066,1.2198
-210,70,36,15,0.4167,0.8333
-190,70,35,15,0.4286,0.8571
-170,70,38,10,0.2632,0.5263
-150,70,73,23,0.3151,0.6301
-130,70,136,47,0.3456,0.6912
-110,70,155,61,0.3935,0.7871
-90,70,238,99,0.416,0.8319
-70,70,358,142,0.3966,0.7933
-50,70,660,260,0.3939,0.7879
-30,70,1097,467,0.4257,0.8514
-10,70,1691,791,0.4678,0.9355
10,70,1811,825,0.4555,0.9111
30,70,1117,484,0.4333,0.8666
50,70,699,309,0.4421,0.8841
70,70,410,181,0.4415,0.8829
90,70,258,104,0.4031,0.8062
110,70,182,88,0.4835,0.967
130,70,125,50,0.4,0.8
150,70,82,29,0.3537,0.7073
170,70,26,11,0.4231,0.8462
190,70,30,11,0.3667,0.7333
210,70,27,10,0.3704,0.7407
230,70,1155,447,0.387,1.161
250,70,62,30,0.4839,1.4516
-250,90,12,4,0.3333,1.0
-230,90,589,250,0.4244,1.2733
-210,90,39,11,0.2821,0.6154
-190,90,28,16,0.5714,1.1429
-170,90,38,22,0.5789,1.1579
-150,90,79,36,0.4557,0.9114
-130,90,123,47,0.3821,0.7642
-110,90,161,71,0.441,0.882
-90,90,209,75,0.3589,0.7177
-70,90,345,158,0.458,0.9159
-50,90,534,252,0.4719,0.9438
-30,90,706,315,0.4462,0.8924
-10,90,1117,517,0.4628,0.9257
10,90,1171,542,0.4629,0.9257
30,90,755,325,0.4305,0.8609
50,90,599,272,0.4541,0.9082
70,90,311,143,0.4598,0.9196
90,90,214,88,0.4112,0.8224
110,90,167,78,0.4671,0.9341
130,90,105,37,0.3524,0.7048
150,90,84,36,0.4286,0.8571
170,90,48,23,0.4792,0.9583
190,90,19,7,0.3684,0.7368
210,90,22,9,0.4091,1.0455
230,90,737,245,0.3324,0.9973
250,90,18,9,0.5,1.5
-250,110,2,1,0.5,1.5
-230,110,650,233,0.3585,1.0754
-210,110,186,61,0.328,0.957
-190,110,29,15,0.5172,1.0345
-170,110,44,19,0.4318,0.8636
-150,110,88,34,0.3864,0.7727
-130,110,148,62,0.4189,0.8378
-110,110,191,80,0.4188,0.8377
-90,110,228,89,0.3904,0.7807
-70,110,324,155,0.4784,0.9568
-50,110,546,256,0.4689,0.9377
-30,110,644,309,0.4798,0.9596
-10,110,892,430,0.4821,0.9641
10,110,941,421,0.4474,0.8948
30,110,726,322,0.4435,0.8871
50,110,583,269,0.4614,0.9228
70,110,391,192,0.491,0.9821
90,110,253,127,0.502,1.004
110,110,171,80,0.4678,0.9357
130,110,152,59,0.3882,0.7763
150,110,81,37,0.4568,0.9136
170,110,39,11,0.2821,0.5641
190,110,22,7,0.3182,0.6364
210,110,150,56,0.3733,1.0933
230,110,661,241,0.3646,1.0938
250,110,14,3,0.2143,0.6429
-250,130,0,0,,
-230,130,494,183,0.3704,1.1113
-210,130,883,335,0.3794,1.1382
-190,130,36,14,0.3889,0.9444
-170,130,54,19,0.3519,0.7037
-150,130,73,33,0.4521,0.9041
-130,130,162,58,0.358,0.716
-110,130,214,80,0.3738,0.7477
-90,130,245,110,0.449,0.898
-70,130,338,135,0.3994,0.7988
-50,130,366,151,0.4126,0.8251
-30,130,380,185,0.4868,0.9737
-10,130,586,237,0.4044,0.8089
10,130,640,280,0.4375,0.875
30,130,404,180,0.4455,0.8911
50,130,410,185,0.4512,0.9024
70,130,375,177,0.472,0.944
