decade,x_center,y_center,attempts,makes,points,fg_pct,pps
1990s,-250,-50,0,0,0,,
1990s,-230,-50,15,11,33,0.7333,2.2000
1990s,-210,-50,11,8,16,0.7273,1.4545
1990s,-190,-50,17,9,18,0.5294,1.0588
1990s,-170,-50,6,6,12,1.0000,2.0000
1990s,-150,-50,20,16,32,0.8000,1.6000
1990s,-130,-50,3,1,2,0.3333,0.6667
1990s,-110,-50,7,4,8,0.5714,1.1429
1990s,-90,-50,1,1,2,1.0000,2.0000
1990s,-70,-50,3,3,6,1.0000,2.0000
1990s,-50,-50,2,0,0,0.0000,0.0000
1990s,-30,-50,0,0,0,,
1990s,-10,-50,1,0,0,0.0000,0.0000
1990s,10,-50,2,0,0,0.0000,0.0000
1990s,30,-50,1,0,0,0.0000,0.0000
1990s,50,-50,0,0,0,,
1990s,70,-50,3,2,4,0.6667,1.3333
1990s,90,-50,9,6,12,0.6667,1.3333
1990s,110,-50,11,7,14,0.6364,1.2727
1990s,130,-50,8,3,6,0.3750,0.7500
1990s,150,-50,9,7,14,0.7778,1.5556
1990s,170,-50,9,5,10,0.5556,1.1111
1990s,190,-50,11,9,18,0.8182,1.6364
1990s,210,-50,15,15,30,1.0000,2.0000
1990s,230,-50,9,6,18,0.6667,2.0000
1990s,250,-50,0,0,0,,
1990s,-250,-30,45,16,48,0.3556,1.0667
1990s,-230,-30,465,186,558,0.4000,1.2000
1990s,-210,-30,145,77,156,0.5310,1.0759
1990s,-190,-30,481,231,462,0.4802,0.9605
1990s,-170,-30,524,241,482,0.4599,0.9198
1990s,-150,-30,531,238,476,0.4482,0.8964
1990s,-130,-30,394,182,364,0.4619,0.9239
1990s,-110,-30,375,182,364,0.4853,0.9707
1990s,-90,-30,222,90,180,0.4054,0.8108
1990s,-70,-30,116,52,104,0.4483,0.8966
1990s,-50,-30,25,4,8,0.1600,0.3200
1990s,-30,-30,9,4,8,0.4444,0.8889
1990s,-10,-30,0,0,0,,
1990s,10,-30,6,4,8,0.6667,1.3333
1990s,30,-30,5,2,4,0.4000,0.8000
1990s,50,-30,13,6,12,0.4615,0.9231
1990s,70,-30,53,26,52,0.4906,0.9811
1990s,90,-30,94,48,96,0.5106,1.0213
1990s,110,-30,172,85,170,0.4942,0.9884
1990s,130,-30,260,132,264,0.5077,1.0154
1990s,150,-30,322,163,326,0.5062,1.0124
1990s,170,-30,399,177,354,0.4436,0.8872
1990s,190,-30,378,192,384,0.5079,1.0159
1990s,210,-30,120,64,128,0.5333,1.0667
1990s,230,-30,391,178,534,0.4552,1.3657
1990s,250,-30,34,16,48,0.4706,1.4118
1990s,-250,-10,136,49,147,0.3603,1.0809
1990s,-230,-10,1832,732,2193,0.3996,1.1971
1990s,-210,-10,503,226,469,0.4493,0.9324
1990s,-190,-10,1443,593,1187,0.4109,0.8226
1990s,-170,-10,2402,1010,2020,0.4205,0.8410
1990s,-150,-10,2649,981,1962,0.3703,0.7407
1990s,-130,-10,2111,829,1658,0.3927,0.7854
1990s,-110,-10,2132,829,1658,0.3888,0.7777
1990s,-90,-10,1442,583,1166,0.4043,0.8086
1990s,-70,-10,750,296,592,0.3947,0.7893
1990s,-50,-10,408,122,244,0.2990,0.5980
1990s,-30,-10,312,110,220,0.3526,0.7051
1990s,-10,-10,1753,1181,2362,0.6737,1.3474
1990s,10,-10,1543,1143,2286,0.7408,1.4815
1990s,30,-10,295,107,214,0.3627,0.7254
1990s,50,-10,286,91,182,0.3182,0.6364
1990s,70,-10,658,250,500,0.3799,0.7599
1990s,90,-10,886,344,688,0.3883,0.7765
1990s,110,-10,1269,471,942,0.3712,0.7423
1990s,130,-10,1553,603,1206,0.3883,0.7766
1990s,150,-10,2009,761,1522,0.3788,0.7576
1990s,170,-10,2015,770,1540,0.3821,0.7643
1990s,190,-10,1158,473,946,0.4085,0.8169
1990s,210,-10,372,166,332,0.4462,0.8925
1990s,230,-10,1772,663,1988,0.3742,1.1219
1990s,250,-10,127,52,155,0.4094,1.2205
1990s,-250,10,123,36,108,0.2927,0.8780
